access,from,from_i,start_time,stop_time,to,to_i
128,S2,2,2019-06-20 12:40:48.888,2019-06-20 12:46:10.233,CAL,5
129,S2,2,2019-06-20 12:50:22.727,2019-06-20 13:02:09.102,S1,1
130,S1,1,2019-06-20 12:50:22.727,2019-06-20 13:02:09.102,S2,2
131,S2,2,2019-06-20 12:50:22.727,2019-06-20 13:02:09.102,S1,1
132,S1,1,2019-06-20 12:50:22.727,2019-06-20 13:02:09.102,S2,2
133,S2,2,2019-06-20 13:37:50.609,2019-06-20 13:49:36.900,S1,1
134,S1,1,2019-06-20 13:37:50.609,2019-06-20 13:49:36.900,S2,2
135,S1,1,2019-06-20 13:37:50.609,2019-06-20 13:49:36.900,S2,2
136,S2,2,2019-06-20 13:37:50.609,2019-06-20 13:49:36.900,S1,1
137,S2,2,2019-06-20 14:10:51.848,2019-06-20 14:22:22.416,CAL,5
138,S1,1,2019-06-20 14:11:29.011,2019-06-20 14:22:35.823,CAL,5
139,S1,1,2019-06-20 14:25:13.358,2019-06-20 14:36:59.734,S2,2
140,S2,2,2019-06-20 14:25:13.358,2019-06-20 14:36:59.734,S1,1
141,S2,2,2019-06-20 14:25:13.358,2019-06-20 14:36:59.734,S1,1
142,S1,1,2019-06-20 14:25:13.358,2019-06-20 14:36:59.734,S2,2
143,S1,1,2019-06-20 15:12:41.244,2019-06-20 15:24:27.530,S2,2
144,S2,2,2019-06-20 15:12:41.244,2019-06-20 15:24:27.530,S1,1
145,S1,1,2019-06-20 15:12:41.244,2019-06-20 15:24:27.530,S2,2
146,S2,2,2019-06-20 15:12:41.244,2019-06-20 15:24:27.530,S1,1
147,S2,2,2019-06-20 15:47:16.103,2019-06-20 15:54:36.106,CAL,5
148,S2,2,2019-06-20 16:00:03.986,2019-06-20 16:11:50.365,S1,1
149,S1,1,2019-06-20 16:00:03.986,2019-06-20 16:11:50.365,S2,2
150,S2,2,2019-06-20 16:00:03.986,2019-06-20 16:11:50.365,S1,1
151,S1,1,2019-06-20 16:00:03.986,2019-06-20 16:11:50.365,S2,2
152,S1,1,2019-06-20 16:47:31.874,2019-06-20 16:59:18.160,S2,2
153,S1,1,2019-06-20 16:47:31.874,2019-06-20 16:59:18.160,S2,2
154,S2,2,2019-06-20 16:47:31.874,2019-06-20 16:59:18.160,S1,1
155,S2,2,2019-06-20 16:47:31.874,2019-06-20 16:59:18.160,S1,1
156,S2,2,2019-06-20 17:34:54.613,2019-06-20 17:46:40.996,S1,1
157,S1,1,2019-06-20 17:34:54.613,2019-06-20 17:46:40.996,S2,2
158,S2,2,2019-06-20 17:34:54.613,2019-06-20 17:46:40.996,S1,1
159,S1,1,2019-06-20 17:34:54.613,2019-06-20 17:46:40.996,S2,2
160,S1,1,2019-06-20 18:12:33.527,2019-06-20 18:16:43.304,SAA,4
161,S1,1,2019-06-20 18:22:22.507,2019-06-20 18:34:08.789,S2,2
162,S1,1,2019-06-20 18:22:22.507,2019-06-20 18:34:08.789,S2,2
163,S2,2,2019-06-20 18:22:22.507,2019-06-20 18:34:08.789,S1,1
164,S2,2,2019-06-20 18:22:22.507,2019-06-20 18:34:08.789,S1,1
165,S2,2,2019-06-20 19:09:45.246,2019-06-20 19:21:31.630,S1,1
166,S2,2,2019-06-20 19:09:45.246,2019-06-20 19:21:31.630,S1,1
167,S1,1,2019-06-20 19:09:45.246,2019-06-20 19:21:31.630,S2,2
168,S1,1,2019-06-20 19:09:45.246,2019-06-20 19:21:31.630,S2,2
169,S1,1,2019-06-20 19:41:58.959,2019-06-20 19:53:35.696,SAA,4
170,S2,2,2019-06-20 19:42:22.190,2019-06-20 19:52:47.069,SAA,4
171,S1,1,2019-06-20 19:57:13.139,2019-06-20 20:08:59.416,S2,2
172,S2,2,2019-06-20 19:57:13.139,2019-06-20 20:08:59.416,S1,1
173,S1,1,2019-06-20 19:57:13.139,2019-06-20 20:08:59.416,S2,2
174,S2,2,2019-06-20 19:57:13.139,2019-06-20 20:08:59.416,S1,1
175,S1,1,2019-06-20 20:44:35.873,2019-06-20 20:56:22.264,S2,2
176,S2,2,2019-06-20 20:44:35.873,2019-06-20 20:56:22.264,S1,1
